date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:54	952/952	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202017%2000:30:53%20GMT	http://www.bloomsanddreams.ca/images/frames/tape.png	C:/bloomsanddreams/bloomsanddreams/www.bloomsanddreams.ca/images/frames/tape.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:30:55	952/952	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202017%2000:30:53%20GMT	http://www.bloomsanddreams.ca/images/frames/album-noise.png	C:/bloomsanddreams/bloomsanddreams/www.bloomsanddreams.ca/images/frames/album-noise.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:30:55	952/952	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202017%2000:30:54%20GMT	http://www.bloomsanddreams.ca/images/frames/album-binder.png	C:/bloomsanddreams/bloomsanddreams/www.bloomsanddreams.ca/images/frames/album-binder.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:30:56	952/952	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202017%2000:30:54%20GMT	http://www.bloomsanddreams.ca/images/frames/thumbtack.png	C:/bloomsanddreams/bloomsanddreams/www.bloomsanddreams.ca/images/frames/thumbtack.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:30:56	952/952	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202017%2000:30:55%20GMT	http://www.bloomsanddreams.ca/images/frames/photo-corners.png	C:/bloomsanddreams/bloomsanddreams/www.bloomsanddreams.ca/images/frames/photo-corners.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:30:58	1761/1761	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:30:56%20GMT	http://members.webs.com/s/modules/contact_form/v1.35/images/error_icon.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/contact_form/v1.35/images/error_icon.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:30:59	1968/1968	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:30:57%20GMT	http://members.webs.com/s/modules/contact_form/v1.35/images/form_success_check.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/contact_form/v1.35/images/form_success_check.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:06	35308/35308	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:30:58%20GMT	http://members.webs.com/s/modules/social-links/v1.21/icons/style01.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/social-links/v1.21/icons/style01.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:08	111161/111161	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2001%20Nov%202017%2004:00:00%20GMT	http://dynamic.websimages.com/s/themes/537a01bd153683764e000001/v1.41/images/HEADER-.jpg	C:/bloomsanddreams/bloomsanddreams/dynamic.websimages.com/s/themes/537a01bd153683764e000001/v1.41/images/HEADER-.jpg	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:10	22153/22153	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:05%20GMT	http://members.webs.com/s/modules/social-links/v1.21/icons/style02.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/social-links/v1.21/icons/style02.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
